Layer,Head,Total_Importance,Avg_Importance,Num_Features,Stable_Feature_Count
7,10,-0.0006545454545454521,-3.116883116883105e-05,21,1
2,8,-0.0006545454545454521,-3.116883116883105e-05,21,1
8,5,-0.0006545454545454632,-3.116883116883158e-05,21,1
0,1,-0.0007272727272727103,-3.463203463203382e-05,21,6
8,3,-0.0007272727272727208,-3.4632034632034324e-05,21,1
3,3,-0.0007272727272727208,-3.4632034632034324e-05,21,1
5,8,-0.0007272727272727208,-3.4632034632034324e-05,21,1
2,10,-0.000727272727272732,-3.463203463203486e-05,21,1
7,9,-0.0008000000000000007,-3.8095238095238126e-05,21,1
11,11,-0.0008000000000000121,-3.809523809523867e-05,21,3
8,4,-0.0008727272727272695,-4.1558441558441406e-05,21,1
7,3,-0.0008727272727272695,-4.1558441558441406e-05,21,1
8,6,-0.0008727272727272695,-4.1558441558441406e-05,21,1
2,0,-0.0009454545454545271,-4.502164502164415e-05,21,1
6,4,-0.0009454545454545382,-4.502164502164467e-05,21,1
0,9,-0.0009454545454545826,-4.5021645021646793e-05,21,4
9,7,-0.001018181818181818,-4.848484848484848e-05,21,2
4,3,-0.001018181818181829,-4.8484848484849e-05,21,1
9,4,-0.0010909090909090868,-5.1948051948051754e-05,21,1
2,2,-0.0010909090909090868,-5.1948051948051754e-05,21,1
1,6,-0.0010909090909090979,-5.194805194805228e-05,21,0
3,2,-0.0010909090909090979,-5.194805194805228e-05,21,1
6,2,-0.0011636363636363667,-5.5411255411255556e-05,21,1
7,4,-0.0012363636363636132,-5.887445887445777e-05,21,2
7,5,-0.0012363636363636353,-5.887445887445882e-05,21,1
6,11,-0.0013090909090909043,-6.23376623376621e-05,21,2
2,6,-0.0014545454545454527,-6.926406926406918e-05,21,2
2,9,-0.001454545454545453,-6.926406926406919e-05,21,2
8,0,-0.0015272727272727215,-7.272727272727246e-05,21,1
5,10,-0.0015272727272727326,-7.272727272727299e-05,21,2
6,8,-0.0015999999999999793,-7.619047619047521e-05,21,1
1,8,-0.0016000000000000014,-7.619047619047625e-05,21,1
4,7,-0.0016000000000000014,-7.619047619047625e-05,21,1
6,5,-0.0016000000000000124,-7.619047619047678e-05,21,1
7,11,-0.0016727272727272591,-7.9653679653679e-05,21,1
6,6,-0.0016727272727272812,-7.965367965368006e-05,21,1
9,11,-0.0016727272727272812,-7.965367965368006e-05,21,1
7,6,-0.001745454545454528,-8.311688311688228e-05,21,1
7,2,-0.001745454545454539,-8.311688311688281e-05,21,1
9,0,-0.0018181818181818186,-8.658008658008661e-05,21,2
1,5,-0.0018909090909090874,-9.004329004328987e-05,21,1
4,0,-0.0018909090909090876,-9.004329004328989e-05,21,2
1,1,-0.0018909090909090876,-9.004329004328989e-05,21,1
4,2,-0.001963636363636356,-9.350649350649315e-05,21,1
5,9,-0.002036363636363614,-9.69696969696959e-05,21,1
5,7,-0.002036363636363636,-9.696969696969696e-05,21,1
5,6,-0.002036363636363636,-9.696969696969696e-05,21,1
6,3,-0.002109090909090905,-0.00010043290043290024,21,2
4,4,-0.002109090909090905,-0.00010043290043290024,21,2
2,1,-0.002327272727272722,-0.00011082251082251057,21,1
4,11,-0.002545454545454551,-0.00012121212121212147,21,1
2,11,-0.0025454545454545617,-0.00012121212121212198,21,5
2,4,-0.0026181818181818194,-0.00012467532467532475,21,1
0,11,-0.0027636363636363457,-0.00013160173160173074,21,3
11,9,-0.00283636363636367,-0.00013506493506493665,21,5
0,4,-0.002981818181818174,-0.0001419913419913416,21,4
3,10,-0.0029818181818181853,-0.00014199134199134215,21,1
10,2,-0.003054545454545432,-0.0001454545454545444,21,4
8,11,-0.003054545454545454,-0.00014545454545454543,21,2
0,10,-0.0030545454545454543,-0.00014545454545454546,21,3
5,1,-0.003127272727272723,-0.0001489177489177487,21,1
11,1,-0.0032000000000000244,-0.00015238095238095353,21,4
11,10,-0.0033454545454545182,-0.000159307359307358,21,4
3,4,-0.0033454545454545404,-0.00015930735930735906,21,2
7,0,-0.003709090909090884,-0.00017662337662337544,21,3
10,9,-0.0037090909090909505,-0.00017662337662337858,21,2
1,11,-0.0037818181818181753,-0.00018008658008657977,21,2
10,0,-0.0038545454545454326,-0.0001835497835497825,21,1
3,9,-0.004363636363636314,-0.00020779220779220544,21,2
8,1,-0.004581818181818164,-0.00021818181818181734,21,2
