Feature,Coefficient,Abs_Coefficient
AttMap_L10_H2_51,-0.06298920696094802,0.06298920696094802
GAM_L1_H8_confidence_max,0.06287917945144257,0.06287917945144257
AttMap_L1_H3_100,0.0628720928258674,0.0628720928258674
AttMap_L0_H5_202,-0.06278936944412006,0.06278936944412006
AttMap_L4_H3_204,0.06262853632771441,0.06262853632771441
AttMap_L10_H10_358,0.06246873350066592,0.06246873350066592
AttMap_L7_H7_305,0.06194218638249099,0.06194218638249099
AttMap_L10_H4_200,-0.061690069331572804,0.061690069331572804
AttMap_L0_H5_206,-0.06166690249051885,0.06166690249051885
AttMap_L2_H2_200,-0.06164089257055762,0.06164089257055762
Spec_L2_H9_syntax,0.06161913133840424,0.06161913133840424
AttMap_L3_H3_50,0.06157146367516357,0.06157146367516357
Spec_L2_H0_syntax,0.061484190225304214,0.061484190225304214
AttMap_L4_H0_101,0.06114232296610347,0.06114232296610347
AttMap_L4_H7_101,0.06102860475182736,0.06102860475182736
AttMap_L9_H6_51,-0.060888550380831595,0.060888550380831595
AttMap_L9_H7_256,0.06074079355618375,0.06074079355618375
AttMap_L10_H4_250,-0.060710801862484086,0.060710801862484086
AttMap_L1_H9_150,-0.06041228670661763,0.06041228670661763
AttMap_L9_H8_153,0.059898226597498855,0.059898226597498855
AttMap_L0_H9_100,0.059845528918114295,0.059845528918114295
GAM_L6_H6_sparsity,0.059658258815136755,0.059658258815136755
GAM_L11_H4_confidence_avg,-0.0595121577670703,0.0595121577670703
AttMap_L5_H5_56,0.05947380948276657,0.05947380948276657
AttMap_L10_H10_300,-0.05905876195474121,0.05905876195474121
AttMap_L8_H10_59,0.059009053916028835,0.059009053916028835
AttMap_L10_H10_100,-0.05842343256400068,0.05842343256400068
AttMap_L8_H7_101,0.058378738348867816,0.058378738348867816
AttMap_L1_H10_200,-0.05814005731666961,0.05814005731666961
GAM_L7_H8_sparsity,0.05805936315538837,0.05805936315538837
AttMap_L2_H6_255,0.05804905432471897,0.05804905432471897
AttMap_L4_H6_304,0.05803995724920203,0.05803995724920203
AttMap_L10_H9_255,0.05796596868886372,0.05796596868886372
GAM_L10_H2_confidence_avg,0.057838692270477235,0.057838692270477235
AttMap_L5_H9_260,-0.05778404900454824,0.05778404900454824
AttMap_L10_H4_150,-0.05773187368705876,0.05773187368705876
AttMap_L1_H10_150,-0.057329463316695375,0.057329463316695375
AttMap_L6_H0_301,0.05732416463336268,0.05732416463336268
AttMap_L0_H11_100,0.0570796676491948,0.0570796676491948
AttMap_L6_H11_203,0.05704434350015127,0.05704434350015127
AttMap_L0_H2_101,0.0569463117433441,0.0569463117433441
AttMap_L8_H8_58,0.0569106460347403,0.0569106460347403
AttMap_L1_H11_401,-0.05685890659221384,0.05685890659221384
AttMap_L4_H1_7,-0.05676858509534778,0.05676858509534778
