Feature,Coefficient,Abs_Coefficient,Cumulative_Importance
AttMap_L9_H7_767,0.01818345807074887,0.01818345807074887,48.13119829040585
AttMap_L9_H6_211,-0.018181536386066087,0.018181536386066087,48.14497254516328
AttMap_L9_H3_60,-0.018179836011467505,0.018179836011467505,48.158745511724135
AttMap_L6_H8_59,0.01817842600387391,0.01817842600387391,48.172517410069226
AttMap_L10_H5_663,0.018155830008613778,0.018155830008613778,48.18627218978426
AttMap_L0_H2_350,-0.018153904998941428,0.018153904998941428,48.200025511120145
AttMap_L6_H5_560,-0.01815327271428576,0.01815327271428576,48.213778353439864
AttMap_L6_H0_616,0.018151070093202246,0.018151070093202246,48.227529527063204
AttMap_L10_H4_360,0.018150093877882464,0.018150093877882464,48.24127996110995
AttMap_L10_H2_208,0.018144680776857755,0.018144680776857755,48.25502629421436
AttMap_L6_H11_815,0.018136684518906036,0.018136684518906036,48.268766569387694
AttMap_L3_H0_58,-0.018134397394394527,0.018134397394394527,48.28250511184521
AttMap_L1_H4_560,0.018127468159911293,0.018127468159911293,48.296238404744116
AttMap_L9_H8_512,0.018127048160861626,0.018127048160861626,48.30997137945352
AttMap_L9_H10_510,-0.018118754571272457,0.018118754571272457,48.32369807097467
AttMap_L5_H8_367,-0.018116760782690363,0.018116760782690363,48.33742325201006
AttMap_L4_H11_516,-0.018114248900980345,0.018114248900980345,48.35114653005453
AttMap_L2_H10_150,-0.01810675475420965,0.01810675475420965,48.36486413056523
AttMap_L9_H7_260,-0.01808348766319648,0.01808348766319648,48.37856410402658
AttMap_L9_H11_256,-0.018075286402780208,0.018075286402780208,48.39225786424787
AttMap_L9_H3_417,-0.018074607788662028,0.018074607788662028,48.40595111035398
AttMap_L5_H8_314,-0.01807054069450073,0.01807054069450073,48.41964127524683
AttMap_L3_H11_254,-0.018068211886014728,0.018068211886014728,48.43332967584427
AttMap_L1_H0_108,0.018066098017839084,0.018066098017839084,48.447016474984146
AttMap_L8_H7_260,0.018048083899296165,0.018048083899296165,48.46068962670431
AttMap_L10_H5_262,-0.018033208753829418,0.018033208753829418,48.47435150907744
AttMap_L2_H10_250,0.018027626160531232,0.018027626160531232,48.488009162101584
AttMap_L4_H5_314,-0.01802597733541219,0.01802597733541219,48.50166556598283
AttMap_L6_H2_365,-0.018025701285948194,0.018025701285948194,48.515321760730174
AttMap_L6_H8_106,0.018023720281261764,0.018023720281261764,48.52897645467678
AttMap_L7_H5_59,0.018018336297693626,0.018018336297693626,48.542627069740306
AttMap_L4_H4_103,-0.018016529263082372,0.018016529263082372,48.55627631580207
AttMap_L10_H6_363,0.01800667180136224,0.01800667180136224,48.5699180938927
AttMap_L4_H4_258,0.018005271664083423,0.018005271664083423,48.58355881124527
GAM_L10_H6_focus_entropy,0.01800338818333555,0.01800338818333555,48.597198101680824
AttMap_L6_H3_767,-0.017999074256977124,0.017999074256977124,48.61083412390409
AttMap_L4_H7_616,0.017996063740900403,0.017996063740900403,48.62446786537316
AttMap_L6_H1_617,0.017991540309667976,0.017991540309667976,48.63809817990994
AttMap_L6_H7_314,-0.017982870455250197,0.017982870455250197,48.65172192620183
AttMap_L3_H4_350,0.01798060596145179,0.01798060596145179,48.66534395692283
AttMap_L4_H3_413,-0.017979599483768104,0.017979599483768104,48.67896522514062
AttMap_L6_H7_308,-0.01797333239766275,0.01797333239766275,48.692581745440584
AttMap_L6_H3_165,-0.01795395374181118,0.01795395374181118,48.706183584553166
AttMap_L9_H6_314,-0.01794738308164194,0.01794738308164194,48.719780445761515
AttMap_L3_H8_108,-0.017930801930406755,0.017930801930406755,48.73336474516009
AttMap_L9_H5_512,0.01793065311103725,0.01793065311103725,48.74694893181374
AttMap_L3_H10_154,-0.01793061905829357,0.01793061905829357,48.760533092669185
AttMap_L6_H2_716,-0.017929977961495203,0.017929977961495203,48.77411676783242
GAM_L3_H10_confidence_max,-0.017929226161062253,0.017929226161062253,48.78769987343483
AttMap_L5_H2_310,0.017912793168140154,0.017912793168140154,48.801270529471594
AttMap_L7_H0_208,0.017909511583633138,0.017909511583633138,48.81483869939387
AttMap_L8_H11_115,0.017907606559677856,0.017907606559677856,48.82840542607808
AttMap_L8_H7_158,-0.0178954727180762,0.0178954727180762,48.841962960215426
AttMap_L6_H11_458,0.017882210715827088,0.017882210715827088,48.85551044711619
AttMap_L6_H5_208,0.01787982863806968,0.01787982863806968,48.86905612936495
AttMap_L1_H0_150,-0.017874720329077234,0.017874720329077234,48.882597941580514
AttMap_L8_H10_109,0.017868916773532886,0.017868916773532886,48.89613535704705
AttMap_L7_H2_260,-0.017861956100622044,0.017861956100622044,48.909667499137335
AttMap_L9_H7_66,-0.01786091453993334,0.01786091453993334,48.923198852145674
AttMap_L6_H2_412,-0.017851565377960895,0.017851565377960895,48.9367231222686
AttMap_L3_H3_300,-0.01784910094463291,0.01784910094463291,48.950245525347306
AttMap_L10_H4_663,0.01782665474248166,0.01782665474248166,48.963750923278575
AttMap_L5_H8_460,-0.017818567892506087,0.017818567892506087,48.97725019464665
AttMap_L0_H3_457,0.017800053994510356,0.017800053994510356,48.99073543996422
AttMap_L1_H0_359,-0.017795072503037652,0.017795072503037652,49.004216911325
AttMap_L10_H1_614,-0.017783680019116108,0.017783680019116108,49.017689751788346
AttMap_L7_H9_463,-0.017778289480345672,0.017778289480345672,49.03115850840241
AttMap_L4_H9_259,-0.017777602349188074,0.017777602349188074,49.04462674444882
AttMap_L4_H5_263,-0.01777074113745668,0.01777074113745668,49.05808978247037
AttMap_L7_H11_365,-0.017768988939842485,0.017768988939842485,49.07155149303444
AttMap_L4_H3_616,0.017768189060473626,0.017768189060473626,49.0850125976133
AttMap_L5_H4_410,-0.01776549105404678,0.01776549105404678,49.09847165819395
AttMap_L3_H2_261,0.01776246556845898,0.01776246556845898,49.11192842667957
AttMap_L3_H7_500,-0.01775869456763414,0.01775869456763414,49.12538233827097
AttMap_L4_H0_359,-0.017757465690609046,0.017757465690609046,49.138835318870356
AttMap_L10_H11_161,-0.017753531489841535,0.017753531489841535,49.15228531893595
AttMap_L8_H11_160,0.01775315741713464,0.01775315741713464,49.16573503560564
AttMap_L8_H5_309,-0.01775263365313804,0.01775263365313804,49.17918435547396
AttMap_L4_H7_316,-0.017716279678065067,0.017716279678065067,49.19260613372515
AttMap_L10_H6_62,-0.017708744868874242,0.017708744868874242,49.20602220363688
AttMap_L7_H9_211,0.01769272212728143,0.01769272212728143,49.219426134787625
AttMap_L9_H5_9,-0.01769071704511465,0.01769071704511465,49.232828546896634
AttMap_L10_H5_613,0.01768328517965432,0.01768328517965432,49.24622532865594
AttMap_L8_H2_315,-0.017679496295076473,0.017679496295076473,49.259619239972366
AttMap_L3_H2_213,0.017667044626621595,0.017667044626621595,49.27300371795765
AttMap_L3_H2_157,0.017661473841232324,0.017661473841232324,49.286383975539586
AttMap_L9_H6_166,-0.01765486818512003,0.01765486818512003,49.299759228704495
AttMap_L0_H11_509,-0.01765076993218933,0.01765076993218933,49.3131313770504
AttMap_L7_H5_263,-0.017647272689738664,0.017647272689738664,49.326500875900265
AttMap_L8_H4_616,0.017644837113840794,0.017644837113840794,49.33986852956817
AttMap_L8_H9_360,0.017639496192233355,0.017639496192233355,49.35323213697655
AttMap_L1_H4_152,0.017635537149173888,0.017635537149173888,49.36659274503072
AttMap_L6_H3_467,-0.017631115219624405,0.017631115219624405,49.37995000304985
GAM_L4_H11_sparsity,0.01763091680148992,0.01763091680148992,49.39330711074824
AttMap_L6_H11_766,0.017630872447975662,0.017630872447975662,49.406664184844594
AttMap_L6_H5_308,-0.017622679671219235,0.017622679671219235,49.42001505212807
AttMap_L1_H11_153,-0.0176038724059093,0.0176038724059093,49.43335167110721
AttMap_L0_H7_500,0.01759794949331609,0.01759794949331609,49.44668380291293
AttMap_L5_H3_364,0.01759646138698499,0.01759646138698499,49.460014807335604
